Income,Gender,Age,Age Range,"In politics today, do you consider yourself a Democrat, a Republican, or Independent? ","Would you say you are liberal, conservative, or moderate? ","What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Q6OTH1,"What is your race? (white, black, latino, asian, other)",Q7OTH1,"Do you live in a city, suburb, or small town?","Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president?","Do you think federal funding for welfare programs in America should be increased, decreased, or kept the same? ",Do you think poor black people are more likely to benefit from welfare programs than poor white people?,Do you think poor people in cities are more likely to benefit from welfare programs than poor people in small towns?,"If you had to choose, would you rather live in a more equal society or a more unequal society?","
Now, I'd like you to try to guess the level of wealth equality in America. Out of all the wealth that Americans have, what percentage of that wealth would you guess is owned by the richest 1% of Americans? (0 to 100%)","In general, do you think our government should take money from the rich and give it to the poor?","In many other countries, poverty is more extreme than it is in America. Do you think our government should give money to the poorest people in those other countries, instead of giving it to the poorest Americans?","
Do you consider rap a form of music?",Are you hungry right now? ,Do you think you're strong enough to beat most people in a fist-fight?,"
Do you think your farts are more smelly or less smelly than other people's farts?"
75000,Male,49,45-54,Independent,Moderate,College degree,,White,,Small Town,Disapprove,Kept the Same,No,Yes,More Equal Society,75,Strongly Yes,Strongly No,Yes,Not Hungry,Yes,DK/REF
100000,Male,58,55-64,Independent,Moderate,High school or less,,White,,Suburb,Disapprove,Decreased,Yes,Yes,More Equal Society,90,Strongly No,Strongly No,Yes,A Little Hungry,No,DK/REF
30000,Male,60,55-64,Independent,Moderate,High school or less,,White,,Suburb,Approve,Decreased,No,No,More Equal Society,DK/REF,Not Very Strongly Yes,Strongly No,No,Not Hungry,Yes,DK/REF
,Female,66,65+,Strong Republican,Strong Conservative,Some college,,White,,Suburb,Approve,Kept the Same,DK/REF,DK/REF,More Equal Society,DK/REF,DK/REF,Strongly No,DK/REF,Not Hungry,No,DK/REF
10000,Male,75,65+,Strong Republican,Strong Conservative,Graduate degree,,White,,City,Approve,Decreased,Yes,DK/REF,More Equal Society,DK/REF,Strongly No,Strongly No,DK/REF,Not Hungry,No,More Smelly
130000,Male,63,55-64,Strong Republican,Strong Conservative,Graduate degree,,White,,Suburb,Approve,Decreased,No,Yes,DK/REF,10,Not Very Strongly Yes,Strongly No,No,A Little Hungry,No,More Smelly
25000,Female,70,65+,Independent,Moderate,College degree,,DK/REF,,Small Town,DK/REF,Increased,No,No,More Equal Society,DK/REF,Not Very Strongly Yes,Strongly No,DK/REF,A Little Hungry,No,DK/REF
29000,Female,64,55-64,Strong Democrat,Moderate,Some college,,Latino,,City,Disapprove,Kept the Same,No,No,More Equal Society,70,Not Very Strongly No,Strongly Yes,Yes,Not Hungry,No,Less Smelly
25000,Female,40,35-44,Strong Republican,Strong Conservative,Some college,,Other,Native American,Suburb,Approve,Decreased,Yes,Yes,More Equal Society,DK/REF,Strongly No,Strongly No,No,Not Hungry,Yes,DK/REF
1000000,Other,25,25-34,DK/REF,DK/REF,Graduate degree,,Black,,City,Approve,Decreased,Yes,No,More Equal Society,90,Strongly No,Strongly No,No,Not Hungry,Yes,More Smelly
50000,Female,50,45-54,Strong Republican,Strong Conservative,Graduate degree,,Other,Native American,Small Town,Approve,Decreased,No,No,More Unequal Society,1,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
23000,Female,64,55-64,Strong Republican,Strong Conservative,High school or less,,White,,Small Town,Approve,Kept the Same,No,Yes,More Equal Society,60,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
900,Female,84,65+,Independent,Moderate,High school or less,,Black,,Small Town,Approve,Increased,Yes,Yes,More Equal Society,50,Strongly No,Strongly Yes,No,Not Hungry,No,More Smelly
,Female,73,65+,Strong Republican,Strong Conservative,Some college,,White,,DK/REF,Approve,Kept the Same,No,No,More Equal Society,DK/REF,Strongly Yes,Strongly No,No,Not Hungry,No,DK/REF
9000,Male,59,55-64,Independent,Strong Conservative,Graduate degree,,White,,Suburb,Disapprove,Kept the Same,No,Yes,More Equal Society,60,Not Very Strongly No,Not Very Strongly No,Yes,Not Hungry,Yes,DK/REF
48000,Male,69,65+,Strong Republican,Strong Conservative,High school or less,,White,,Small Town,Approve,Increased,No,Yes,More Equal Society,DK/REF,Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
,Female,59,55-64,Independent,Moderate,Some college,,White,,Small Town,Disapprove,Kept the Same,Yes,Yes,More Equal Society,5,Not Very Strongly Yes,Strongly Yes,Yes,Not Hungry,No,Less Smelly
,Female,45,45-54,Independent,Moderate,Some college,,White,,Small Town,Disapprove,Decreased,Yes,No,More Equal Society,50,Strongly No,Strongly No,No,Not Hungry,DK/REF,DK/REF
,Female,59,55-64,Independent,Moderate,High school or less,,White,,Small Town,DK/REF,DK/REF,No,No,More Equal Society,10,Strongly Yes,Strongly No,No,Not Hungry,Yes,DK/REF
75000,Male,65,65+,Strong Republican,Strong Conservative,Some college,,White,,Suburb,Approve,Decreased,No,No,More Equal Society,35,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
17700,Female,65,65+,Not Strong Democrat,Moderate,High school or less,,White,,Small Town,Approve,Decreased,Yes,Yes,More Equal Society,2,Strongly No,Strongly Yes,No,Not Hungry,No,DK/REF
80000,Male,61,55-64,Strong Republican,Strong Conservative,High school or less,,White,,DK/REF,Approve,Decreased,No,Yes,More Equal Society,80,Strongly No,Strongly No,No,Very Hungry,No,DK/REF
150000,Male,45,45-54,Independent,Moderate,Graduate degree,,White,,City,Disapprove,Kept the Same,No,Yes,More Equal Society,85,Strongly Yes,Not Very Strongly No,Yes,A Little Hungry,No,DK/REF
14000,Female,71,65+,Strong Democrat,DK/REF,High school or less,,White,,Small Town,Neither Approve nor disapprove,Increased,DK/REF,DK/REF,More Equal Society,100,Strongly Yes,Strongly Yes,Yes,Not Hungry,No,DK/REF
50000,Male,64,55-64,Independent,Strong Conservative,High school or less,,White,,Small Town,Approve,Decreased,No,No,DK/REF,DK/REF,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
20000,Female,28,25-34,DK/REF,Moderate,College degree,,Black,,City,Disapprove,Increased,No,No,More Equal Society,33,Strongly Yes,Strongly No,Yes,Not Hungry,Yes,More Smelly
250000,Male,50,45-54,Not Strong Republican,Not Very Strong Conservative,Graduate degree,,Black,,City,Disapprove,Kept the Same,No,Yes,More Equal Society,1,Not Very Strongly No,Strongly Yes,Yes,Not Hungry,Yes,Less Smelly
55000,Male,32,25-34,Strong Democrat,Moderate,College degree,,White,,Suburb,Approve,Decreased,Yes,Yes,More Equal Society,2,Strongly Yes,Strongly No,No,A Little Hungry,No,More Smelly
,Male,19,18-24,Not Strong Democrat,Not very strong Liberal,Some college,,Black,,Small Town,Disapprove,Increased,No,Yes,More Equal Society,100,Strongly Yes,Not Very Strongly No,Yes,Very Hungry,Yes,More Smelly
70000,Female,53,45-54,Not Strong Republican,Moderate,College degree,,White,,Small Town,Disapprove,Kept the Same,DK/REF,Yes,More Equal Society,10,Not Very Strongly Yes,Not Very Strongly No,No,Not Hungry,Yes,Less Smelly
,Male,50,45-54,DK/REF,Not very strong Liberal,College degree,,Black,,Suburb,Disapprove,Kept the Same,No,No,More Equal Society,1,Strongly Yes,Strongly No,Yes,Not Hungry,DK/REF,DK/REF
200000,Female,46,45-54,Strong Republican,Strong Conservative,Graduate degree,,White,,Small Town,Approve,Decreased,No,No,More Equal Society,90,Strongly No,Strongly No,DK/REF,Not Hungry,Yes,DK/REF
75000,Female,50,45-54,Strong Republican,Strong Liberal,High school or less,,White,,Small Town,Approve,Decreased,No,No,More Equal Society,5,Strongly No,Strongly No,No,A Little Hungry,No,More Smelly
22000,Male,32,25-34,Not Strong Democrat,Strong Liberal,High school or less,,Latino,,City,Approve,Decreased,No,No,More Unequal Society,80,Strongly No,Strongly No,Yes,Very Hungry,Yes,More Smelly
,Female,32,25-34,Independent,Moderate,Some college,,White,,Small Town,Disapprove,Increased,No,No,More Equal Society,DK/REF,Strongly Yes,Strongly No,No,Not Hungry,No,DK/REF
,Female,46,45-54,Independent,Moderate,College degree,,White,,Small Town,Approve,Kept the Same,No,No,More Equal Society,90,Strongly No,Strongly No,Yes,Not Hungry,DK/REF,DK/REF
70000,Male,46,45-54,Independent,Moderate,College degree,,Black,,Small Town,Disapprove,Kept the Same,No,No,More Equal Society,10,Strongly Yes,Strongly No,Yes,Not Hungry,No,Less Smelly
140000,Female,25,25-34,Independent,Strong Conservative,College degree,,White,,Suburb,Neither Approve nor disapprove,Decreased,Yes,Yes,More Equal Society,DK/REF,Strongly No,Not Very Strongly No,Yes,Not Hungry,No,Less Smelly
900,Male,67,65+,DK/REF,Not very strong Liberal,High school or less,,Latino,,Small Town,Neither Approve nor disapprove,Decreased,DK/REF,No,More Equal Society,75,Not Very Strongly No,Not Very Strongly No,No,Not Hungry,No,Less Smelly
,Male,54,45-54,Strong Democrat,Not Very Strong Conservative,College degree,,Black,,City,Disapprove,Increased,No,No,More Equal Society,5,Strongly Yes,Strongly No,Yes,Not Hungry,No,More Smelly
60000,Male,39,35-44,Not Strong Democrat,Strong Liberal,College degree,,DK/REF,,City,Disapprove,Kept the Same,No,Yes,More Equal Society,90,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,Yes,Less Smelly
,Male,44,35-44,Not Strong Democrat,Moderate,College degree,,Latino,,City,Disapprove,Kept the Same,No,Yes,More Equal Society,95,Strongly Yes,Strongly No,Yes,Not Hungry,Yes,DK/REF
,Female,82,65+,Strong Democrat,Moderate,High school or less,,White,,City,Disapprove,Increased,No,Yes,More Equal Society,DK/REF,Strongly No,Strongly No,Yes,Not Hungry,Yes,DK/REF
20000,Male,35,35-44,Independent,Strong Liberal,College degree,,Black,,Suburb,Disapprove,Increased,No,No,More Equal Society,80,Strongly Yes,Strongly No,Yes,Not Hungry,Yes,More Smelly
75000,Male,64,55-64,Independent,Moderate,College degree,,White,,Suburb,Disapprove,Kept the Same,No,No,More Equal Society,40,Not Very Strongly Yes,Strongly No,Yes,A Little Hungry,No,More Smelly
,Female,20,18-24,Not Strong Democrat,Not Very Strong Conservative,Some college,,Asian,,City,Disapprove,Increased,Yes,Yes,More Equal Society,70,Strongly Yes,Strongly Yes,Yes,Very Hungry,No,Less Smelly
30,Female,19,18-24,Independent,Strong Liberal,Some college,,White,,City,DK/REF,Kept the Same,No,Yes,More Equal Society,35,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,Less Smelly
,Male,50,45-54,Strong Democrat,Strong Liberal,Some college,,DK/REF,,Suburb,Disapprove,Increased,DK/REF,No,More Unequal Society,DK/REF,Strongly No,Strongly Yes,Yes,A Little Hungry,DK/REF,DK/REF
,Female,56,55-64,Strong Democrat,Moderate,High school or less,,Latino,,City,Disapprove,Increased,Yes,Yes,More Equal Society,0,Strongly No,Strongly No,No,Very Hungry,No,DK/REF
,Female,62,55-64,Strong Democrat,Strong Liberal,High school or less,,Black,,City,Approve,Increased,Yes,Yes,More Equal Society,1,Strongly No,Strongly Yes,Yes,Not Hungry,Yes,More Smelly
,Male,73,65+,Independent,Not Very Strong Conservative,Graduate degree,,White,,Suburb,Neither Approve nor disapprove,Kept the Same,No,Yes,More Equal Society,99,Not Very Strongly Yes,Strongly No,Yes,Not Hungry,No,More Smelly
35000,Male,50,45-54,Strong Democrat,Moderate,Some college,,Black,,City,Disapprove,Kept the Same,No,No,More Equal Society,95,Strongly Yes,Strongly No,Yes,Very Hungry,Yes,Less Smelly
,Male,63,55-64,Strong Republican,Strong Conservative,Some college,,Other,Pacific Islander,City,Approve,Decreased,DK/REF,Yes,More Equal Society,DK/REF,Strongly No,Strongly No,No,Not Hungry,Yes,DK/REF
20000,Female,72,65+,Strong Republican,Strong Conservative,Some college,,White,,Small Town,Approve,Decreased,No,No,More Unequal Society,DK/REF,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
,Female,64,55-64,DK/REF,DK/REF,Some college,,Black,,City,DK/REF,DK/REF,DK/REF,No,DK/REF,99,DK/REF,DK/REF,Yes,Not Hungry,No,DK/REF
800,Female,60,55-64,Independent,Strong Conservative,High school or less,,White,,Small Town,Neither Approve nor disapprove,Kept the Same,No,Yes,More Equal Society,75,Not Very Strongly Yes,Strongly No,Yes,Not Hungry,No,Less Smelly
,Male,21,18-24,Strong Democrat,Strong Liberal,Some college,,Other,Pacific Islander,Suburb,DK/REF,DK/REF,DK/REF,Yes,More Equal Society,90,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,DK/REF,DK/REF
80000,Female,59,55-64,DK/REF,DK/REF,Some college,,White,,Small Town,Approve,Increased,No,No,More Equal Society,80,Strongly No,Strongly No,Yes,Not Hungry,No,Less Smelly
60000,Male,66,65+,Strong Democrat,Strong Liberal,Graduate degree,,White,,Small Town,Disapprove,Increased,No,No,More Equal Society,90,DK/REF,DK/REF,Yes,Not Hungry,No,DK/REF
80000,Female,55,55-64,Not Strong Republican,Moderate,College degree,,White,,City,Neither Approve nor disapprove,Decreased,No,Yes,More Unequal Society,85,Strongly No,Strongly No,No,Not Hungry,No,DK/REF
56000,Male,67,65+,Strong Republican,Not Very Strong Conservative,Some college,,White,,Small Town,Approve,Kept the Same,DK/REF,No,More Unequal Society,20,DK/REF,Strongly No,No,Not Hungry,No,DK/REF
50000,Female,69,65+,Strong Democrat,Strong Liberal,High school or less,,White,,Small Town,Disapprove,Kept the Same,No,Yes,More Equal Society,50,Strongly Yes,Strongly No,No,Not Hungry,No,DK/REF
,Male,32,25-34,Strong Democrat,Strong Liberal,High school or less,,White,,City,Disapprove,Increased,No,No,More Equal Society,99,Strongly No,Strongly Yes,Yes,Not Hungry,Yes,More Smelly
26000,Female,70,65+,Not Strong Republican,Moderate,High school or less,,White,,Small Town,DK/REF,Kept the Same,DK/REF,No,More Equal Society,DK/REF,Strongly Yes,Not Very Strongly Yes,Yes,Not Hungry,No,DK/REF
50000,Male,35,35-44,Not Strong Republican,Moderate,Some college,,White,,City,Approve,Kept the Same,No,No,More Equal Society,2,Not Very Strongly No,Not Very Strongly No,Yes,Not Hungry,DK/REF,DK/REF
,Female,39,35-44,Strong Democrat,Strong Liberal,College degree,,White,,City,Disapprove,Increased,No,Yes,More Equal Society,75,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,Yes,Less Smelly
16000,Female,21,18-24,Not Strong Democrat,Moderate,Some college,,Latino,,Small Town,Disapprove,Increased,Yes,Yes,More Equal Society,60,Strongly Yes,Not Very Strongly No,No,Not Hungry,Yes,Less Smelly
100000,Female,48,45-54,Strong Democrat,Moderate,College degree,,Latino,,City,Disapprove,Kept the Same,Yes,Yes,More Equal Society,1,Strongly Yes,Strongly Yes,Yes,A Little Hungry,No,DK/REF
100000,Male,69,65+,Strong Republican,Strong Conservative,College degree,,White,,Suburb,Approve,Kept the Same,No,No,DK/REF,65,Strongly No,Strongly No,No,Not Hungry,Yes,Less Smelly
120,Male,38,35-44,Strong Republican,Strong Conservative,College degree,,White,,Small Town,Approve,Decreased,Yes,Yes,More Equal Society,75,Strongly No,Strongly No,Yes,Not Hungry,No,Less Smelly
12000,Female,66,65+,Strong Democrat,Strong Liberal,College degree,,White,,Small Town,Disapprove,Increased,No,Yes,More Equal Society,80,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,Less Smelly
75000,Female,43,35-44,Not Strong Republican,Strong Conservative,Some college,,White,,Small Town,Neither Approve nor disapprove,Decreased,No,No,More Equal Society,10,Strongly No,Strongly No,Yes,Not Hungry,Yes,Less Smelly
,Male,74,65+,Strong Republican,Strong Conservative,College degree,,White,,Small Town,Approve,Kept the Same,Yes,Yes,More Equal Society,25,Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
60000,Male,65,65+,Strong Democrat,Strong Liberal,High school or less,,White,,Small Town,Disapprove,Increased,No,No,More Equal Society,40,Strongly Yes,Strongly No,No,Not Hungry,No,Less Smelly
40000,Female,69,65+,Strong Democrat,Moderate,College degree,,White,,Small Town,Disapprove,Kept the Same,DK/REF,No,More Equal Society,DK/REF,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,Less Smelly
40000,Male,52,45-54,Not Strong Republican,Not very strong Liberal,Some college,,White,,Small Town,Approve,Kept the Same,No,Yes,More Equal Society,80,Not Very Strongly No,Not Very Strongly No,Yes,A Little Hungry,No,Less Smelly
,Female,66,65+,DK/REF,Strong Conservative,High school or less,,White,,Small Town,Approve,Kept the Same,No,Yes,More Equal Society,DK/REF,Strongly Yes,Strongly Yes,Yes,Not Hungry,No,Less Smelly
,Female,65,65+,Strong Democrat,Strong Conservative,Some college,,Black,,Small Town,Disapprove,Increased,DK/REF,Yes,More Equal Society,75,Strongly Yes,Strongly No,Yes,Not Hungry,Yes,More Smelly
110000,Female,54,45-54,Not Strong Democrat,Not Very Strong Conservative,College degree,,White,,Suburb,Disapprove,Kept the Same,No,Yes,More Equal Society,92,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,DK/REF
,Female,48,45-54,Independent,Strong Liberal,College degree,,White,,Small Town,Disapprove,Increased,No,No,More Equal Society,90,Strongly Yes,Strongly No,Yes,Not Hungry,No,DK/REF
,Male,84,65+,Strong Democrat,Strong Liberal,High school or less,,Black,,Small Town,Disapprove,Kept the Same,No,DK/REF,More Equal Society,100,Strongly No,Strongly Yes,Yes,Not Hungry,No,DK/REF
400000,Female,37,35-44,Independent,Moderate,Graduate degree,,White,,Suburb,Disapprove,Kept the Same,No,No,More Equal Society,70,Strongly No,Strongly No,Yes,Very Hungry,No,Less Smelly
40000,Female,42,35-44,Independent,Strong Liberal,College degree,,White,,City,Disapprove,Increased,No,No,More Equal Society,85,Strongly No,Not Very Strongly No,Yes,Not Hungry,No,DK/REF
30000,Male,68,65+,Strong Democrat,Moderate,Some college,,White,,City,Disapprove,Increased,DK/REF,Yes,More Equal Society,30,Strongly Yes,Strongly No,Yes,Not Hungry,No,Less Smelly
8000,Female,67,65+,Strong Republican,Strong Conservative,Some college,,White,,Suburb,Approve,Increased,No,No,DK/REF,90,Strongly No,Strongly No,No,Not Hungry,No,Less Smelly
150000,Male,36,35-44,Independent,Moderate,College degree,,White,,City,Disapprove,Kept the Same,No,No,More Equal Society,60,Not Very Strongly Yes,Not Very Strongly No,Yes,A Little Hungry,DK/REF,More Smelly
120000,Female,48,45-54,Strong Republican,Moderate,High school or less,,White,,Small Town,Approve,Decreased,Yes,No,More Equal Society,40,Strongly No,Strongly No,No,A Little Hungry,No,DK/REF
,Male,45,45-54,DK/REF,DK/REF,College degree,,White,,City,Neither Approve nor disapprove,Kept the Same,DK/REF,DK/REF,More Equal Society,90,DK/REF,Not Very Strongly No,Yes,Not Hungry,DK/REF,DK/REF
70000,Female,28,25-34,Independent,Moderate,College degree,,White,,City,Disapprove,Kept the Same,No,No,More Equal Society,10,Not Very Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
75000,Male,27,25-34,Independent,Moderate,Graduate degree,,White,,City,Neither Approve nor disapprove,Kept the Same,No,No,More Equal Society,30,Not Very Strongly No,Strongly No,Yes,Not Hungry,Yes,More Smelly
30000,Male,29,25-34,Independent,DK/REF,High school or less,,White,,Small Town,Approve,Kept the Same,DK/REF,Yes,More Equal Society,30,Not Very Strongly No,Strongly No,Yes,Not Hungry,Yes,Less Smelly
,Male,68,65+,Strong Republican,Strong Conservative,Graduate degree,,White,,City,Approve,DK/REF,Yes,Yes,More Equal Society,6,Not Very Strongly No,Strongly No,Yes,Not Hungry,Yes,Less Smelly
,Male,46,45-54,Strong Republican,Strong Conservative,College degree,,White,,Suburb,Approve,Decreased,No,No,More Equal Society,80,Strongly No,Strongly No,Yes,A Little Hungry,No,DK/REF
,Male,71,65+,Independent,Strong Liberal,Graduate degree,,White,,Small Town,Disapprove,Increased,No,DK/REF,More Equal Society,30,Strongly Yes,DK/REF,Yes,Not Hungry,No,DK/REF
,Male,33,25-34,Independent,Strong Conservative,Some college,,White,,Small Town,Approve,Decreased,No,No,More Unequal Society,4,Strongly No,Strongly No,No,Not Hungry,Yes,DK/REF
157000,Male,37,35-44,Independent,Moderate,College degree,,White,,Small Town,Disapprove,Increased,Yes,Yes,More Equal Society,30,Strongly No,Strongly No,Yes,Not Hungry,Yes,Less Smelly
20000,Female,53,45-54,Strong Democrat,Strong Liberal,Graduate degree,,White,,City,Disapprove,Increased,No,No,More Equal Society,90,Not Very Strongly No,Strongly Yes,Yes,Not Hungry,No,More Smelly
18000,Female,54,45-54,Independent,Moderate,Graduate degree,,Latino,,DK/REF,Approve,Increased,No,No,More Equal Society,DK/REF,Strongly Yes,Strongly No,No,A Little Hungry,No,DK/REF
,Male,49,45-54,Strong Republican,Strong Conservative,College degree,,White,,Suburb,Approve,Kept the Same,No,No,More Equal Society,25,Strongly No,Strongly No,Yes,Not Hungry,No,DK/REF
,Male,37,35-44,Not Strong Republican,Not Very Strong Conservative,Graduate degree,,White,,Small Town,Neither Approve nor disapprove,Decreased,No,Yes,More Equal Society,75,Strongly Yes,Strongly No,Yes,Not Hungry,Yes,More Smelly
,DK/REF,44,35-44,Independent,Moderate,College degree,,White,,Small Town,Disapprove,Increased,No,Yes,More Equal Society,50,Strongly Yes,Not Very Strongly No,Yes,Not Hungry,Yes,Less Smelly
34000,Female,52,45-54,Independent,Not Very Strong Conservative,Graduate degree,,Other,Native American,Small Town,Approve,Decreased,No,No,More Equal Society,5,Strongly No,Not Very Strongly No,Yes,Not Hungry,Yes,Less Smelly
35000,Male,31,25-34,DK/REF,DK/REF,Graduate degree,,Asian,,Suburb,Disapprove,Increased,Yes,Yes,DK/REF,98,Not Very Strongly Yes,Strongly No,No,Not Hungry,Yes,Less Smelly
70000,Female,25,25-34,Strong Democrat,Strong Liberal,College degree,,Latino,,City,Disapprove,Increased,No,No,More Equal Society,95,Strongly Yes,Not Very Strongly No,Yes,A Little Hungry,No,Less Smelly
130,Male,39,35-44,Independent,Moderate,Some college,,White,,City,Approve,Increased,No,No,More Equal Society,67,Strongly No,Strongly No,Yes,Not Hungry,Yes,More Smelly
190000,Female,34,25-34,Independent,Moderate,College degree,,White,,Small Town,Disapprove,Decreased,DK/REF,DK/REF,More Equal Society,75,Not Very Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,More Smelly
110000,Female,35,35-44,DK/REF,Moderate,High school or less,,White,,City,Approve,Kept the Same,No,No,More Equal Society,50,Strongly No,Strongly No,Yes,Not Hungry,No,Less Smelly
350000,Female,48,45-54,Strong Democrat,Strong Liberal,Graduate degree,,White,,City,Disapprove,Increased,DK/REF,Yes,More Equal Society,90,Strongly No,Not Very Strongly No,Yes,A Little Hungry,No,Less Smelly
1600,Male,35,35-44,Independent,Moderate,College degree,,White,,City,Neither Approve nor disapprove,Kept the Same,No,Yes,More Equal Society,35,Strongly Yes,Strongly No,Yes,Not Hungry,No,Less Smelly
,Male,54,45-54,Independent,Not Very Strong Conservative,College degree,,White,,Suburb,Disapprove,Kept the Same,No,No,More Equal Society,25,Not Very Strongly Yes,Strongly No,Yes,Not Hungry,No,DK/REF
,Female,32,25-34,DK/REF,Not very strong Liberal,Some college,,White,,City,Neither Approve nor disapprove,Increased,No,Yes,More Equal Society,50,Strongly Yes,Strongly No,Yes,Not Hungry,No,Less Smelly
100000,Female,51,45-54,Strong Democrat,Strong Liberal,College degree,,White,,City,Disapprove,Increased,No,No,More Equal Society,90,Strongly Yes,DK/REF,Yes,Not Hungry,No,DK/REF
,Female,42,35-44,DK/REF,Strong Conservative,Graduate degree,,DK/REF,,Small Town,Approve,DK/REF,DK/REF,No,More Equal Society,DK/REF,Strongly No,Strongly No,Yes,Not Hungry,DK/REF,DK/REF
,Male,40,35-44,Strong Republican,Strong Conservative,Graduate degree,,DK/REF,,Small Town,Approve,Decreased,Yes,No,More Unequal Society,90,Strongly Yes,Strongly No,Yes,A Little Hungry,DK/REF,DK/REF
100000,Male,40,35-44,Strong Republican,Strong Conservative,College degree,,White,,Suburb,Approve,Decreased,Yes,Yes,More Unequal Society,2,Strongly No,Not Very Strongly Yes,Yes,Not Hungry,Yes,Less Smelly
350000,Male,21,18-24,Independent,DK/REF,High school or less,,White,,Small Town,Neither Approve nor disapprove,Increased,Yes,Yes,More Unequal Society,40,Strongly No,Strongly Yes,No,Not Hungry,No,More Smelly
100000000,Male,50,45-54,Strong Democrat,Moderate,Graduate degree,,White,,City,Disapprove,Increased,No,No,More Equal Society,50,Strongly Yes,Strongly Yes,Yes,Not Hungry,Yes,DK/REF
7000,Male,31,25-34,Independent,Strong Conservative,Some college,,White,,Small Town,Approve,Decreased,No,No,More Unequal Society,60,Strongly No,Strongly No,Yes,A Little Hungry,Yes,More Smelly
50000,Male,31,25-34,Independent,Moderate,Some college,,White,,Small Town,Approve,Decreased,Yes,No,More Equal Society,50,Not Very Strongly Yes,Strongly No,Yes,Not Hungry,No,Less Smelly
100000,Female,33,25-34,Independent,Moderate,College degree,,White,,Small Town,DK/REF,Decreased,No,No,More Equal Society,3,Not Very Strongly No,Not Very Strongly No,Yes,Not Hungry,No,Less Smelly
70000,Male,52,45-54,Independent,Moderate,Some college,,White,,City,Disapprove,Kept the Same,DK/REF,Yes,More Equal Society,10,Strongly No,Strongly No,Yes,Not Hungry,Yes,DK/REF
,Female,18,18-24,Not Strong Democrat,Moderate,High school or less,,White,,City,Neither Approve nor disapprove,DK/REF,No,Yes,More Equal Society,20,Not Very Strongly No,Not Very Strongly Yes,Yes,Not Hungry,Yes,Less Smelly
50000,Female,52,45-54,Strong Republican,Strong Conservative,Some college,,White,,Small Town,Approve,Increased,No,No,More Unequal Society,DK/REF,Strongly No,Strongly No,No,A Little Hungry,No,DK/REF
25000,Female,50,45-54,DK/REF,DK/REF,Graduate degree,,White,,City,Disapprove,Increased,DK/REF,DK/REF,More Unequal Society,50,DK/REF,DK/REF,Yes,Not Hungry,No,DK/REF
50000,Female,30,25-34,Not Strong Democrat,Not very strong Liberal,College degree,,Latino,,Small Town,Disapprove,Increased,No,No,More Equal Society,85,Not Very Strongly Yes,Not Very Strongly No,Yes,Not Hungry,No,DK/REF
,Male,65,65+,Strong Republican,Strong Conservative,College degree,,White,,City,Approve,Kept the Same,Yes,Yes,DK/REF,20,Strongly No,Strongly No,Yes,Not Hungry,Yes,DK/REF
,Male,40,35-44,Not Strong Republican,Strong Conservative,College degree,,DK/REF,,Small Town,Approve,Decreased,No,No,More Equal Society,80,Strongly No,Strongly No,Yes,Not Hungry,Yes,Less Smelly
,Male,42,35-44,Not Strong Republican,Moderate,Some college,,White,,Suburb,Approve,Kept the Same,No,Yes,More Equal Society,20,Strongly No,Strongly No,No,Not Hungry,No,Less Smelly
,Female,45,45-54,Strong Republican,Strong Conservative,College degree,,White,,Small Town,Neither Approve nor disapprove,Kept the Same,No,No,More Equal Society,90,Strongly No,DK/REF,Yes,Not Hungry,No,DK/REF
,DK/REF,19,18-24,Independent,Strong Conservative,High school or less,,Black,,City,Approve,Decreased,Yes,Yes,More Unequal Society,99,Strongly No,Strongly No,No,Very Hungry,Yes,More Smelly
500000,Male,44,35-44,Independent,Strong Liberal,College degree,,Asian,,Suburb,Disapprove,Increased,No,No,More Equal Society,50,Strongly Yes,Strongly Yes,Yes,Not Hungry,No,Less Smelly
,Male,51,45-54,Independent,Moderate,High school or less,,Latino,,City,Disapprove,Decreased,Yes,Yes,More Equal Society,5,Strongly No,Strongly No,Yes,Not Hungry,Yes,Less Smelly
40,Male,21,18-24,Independent,Not Very Strong Conservative,College degree,,Asian,,City,Neither Approve nor disapprove,Increased,Yes,No,More Equal Society,19,Strongly No,Not Very Strongly No,No,A Little Hungry,Yes,Less Smelly
30000,Male,35,35-44,Strong Democrat,Strong Liberal,College degree,,Black,,City,Disapprove,Increased,No,No,More Equal Society,20,Not Very Strongly Yes,Strongly Yes,Yes,Not Hungry,DK/REF,DK/REF
